BearID,Capture Date,Popn,Sex,AgeClass,Mating,Denning,den_method,Lat,Long,NoCubs,CubAge,Urea Nitrogen,Creatinine
6212,1983-05-07,SB,F,A,no,no,older cubs,71.3167,-151.0167,2,C1,35.25,0.38
6212,1984-04-08,SB,F,A,unknown,no,older cubs,70.3833,-140.3667,2,C2,5.50,0.70
6153,1985-04-03,SB,F,A,unknown,no,older cubs,70.3,-143.8667,2,C2,11.00,1.20
6251,1987-04-12,SB,F,A,no,no,older cubs,70.3833,-143.7167,2,C1,11.33,1.23
6735,1988-03-11,CS,F,A,unknown,no,older cubs,63.85,-172.1667,2,C2,5.00,1.05
6744,1988-03-18,CS,F,A,no,no,older cubs,66.75,-163.8667,2,C1,48.00,1.13
6761,1988-04-01,CS,F,A,unknown,no,older cubs,69.75,-167.05,2,C2,7.50,1.50
6766,1988-04-05,CS,F,A,no,no,older cubs,66.85,-166.3333,2,C1,28.00,0.80
6686,1989-03-29,SB,F,A,no,no,older cubs,71.3333,-151.3333,2,C1,7.00,1.10
6779,1989-04-05,CS,F,A,unknown,no,older cubs,70.45,-163.0333,2,C2,11.00,0.90
6792,1990-03-02,CS,F,A,no,no,older cubs,64.12,-171.02,2,C1,6.33,1.10
6806,1990-03-10,CS,F,A,no,no,older cubs,64,-166.55,2,C1,14.00,1.05
1920,1991-03-20,CS,F,A,unknown,no,older cubs,66.9667,-164.333,2,C2,40.00,0.70
6489,1991-03-30,SB,F,A,no,no,older cubs,70.2167,-143.8,2,C1,19.50,1.10
9843,1991-04-08,SB,F,A,no,no,older cubs,70.3,-143.1167,2,C1,11.50,1.40
6372,1991-04-11,SB,F,A,no,no,older cubs,70.4167,-145.0333,2,C1,16.50,0.75
6912,1992-03-11,CS,F,A,no,no,older cubs,64.15,-169.57,2,C1,3.50,0.75
6922,1992-03-16,CS,F,A,no,no,older cubs,71.6,-160.2833,2,C1,3.50,1.05
6846,1992-03-21,CS,F,A,no,no,older cubs,70.75,-160.65,2,C1,6.00,1.25
6390,1992-04-03,SB,F,A,no,no,older cubs,70.35,-147.95,2,C1,26.00,0.85
6094,1992-04-04,SB,F,A,no,no,older cubs,71.4,-148.6167,2,C1,8.50,1.40
6157,1992-04-09,SB,F,A,no,no,older cubs,70.5833,-148.05,2,C1,57.00,1.05
6842,1992-04-13,SB,F,A,no,no,older cubs,71.25,-148.8333,2,C1,8.00,1.30
20465,2001-04-08,SB,F,A,no,no,older cubs,70.927,-148.4072,2,C1,6.00,0.90
20547,2001-04-08,SB,F,A,no,no,older cubs,70.3602,-141.4099,2,C1,12.00,0.95
20354,2001-04-10,SB,F,A,no,no,older cubs,70.404,-144.9544,2,C1,17.00,0.75
20190,2002-04-16,SB,F,A,unknown,no,older cubs,70.784,-148.832,2,C2,22.00,0.85
20196,2002-04-19,SB,F,A,no,no,older cubs,70.9555,-150.1636,2,C1,10.00,0.70
20632,2003-03-18,SB,F,A,unknown,no,older cubs,70.9111,-146.0077,2,C2,7.00,1.35
20356,2004-03-31,SB,F,A,unknown,no,older cubs,71.6869,-156.2154,2,C2,31.00,1.15
6336,2004-04-04,SB,F,A,no,no,older cubs,71.4967,-153.994,2,C1,4.50,0.90
20774,2005-04-06,SB,F,A,unknown,no,older cubs,71.3973,-156.8235,2,C2,20.00,0.85
6336,2005-04-14,SB,F,A,unknown,no,older cubs,71.7027,-153.7671,2,C2,6.00,0.90
20299,2006-04-03,SB,F,A,unknown,no,older cubs,71.575,-156.9228,2,C2,4.00,1.10
20832,2006-04-06,SB,F,A,no,no,older cubs,71.8666,-156.7557,2,C1,9.50,1.05
20846,2006-04-18,SB,F,A,no,no,older cubs,70.4387,-145.852,2,C1,4.00,1.15
20866,2007-03-29,SB,F,A,no,no,older cubs,71.5026,-156.724,2,C1,11.00,1.10
21112,2009-04-18,CS,F,S ,unknown,no,older cubs,68.7471,-167.3192,2,C2,7.50,1.10
20414,2009-04-24,SB,F,A,no,no,older cubs,70.4133,-146.7111,2,C1,22.00,0.75
20413,2009-04-24,SB,F,A,no,no,older cubs,70.286,-146.3747,2,C1,11.00,0.80
20132,2009-04-28,SB,F,A,no,no,older cubs,70.5276,-148.0467,2,C1,12.00,1.00
21152,2010-03-28,SB,F,A,no,no,older cubs,71.3864,-156.3834,2,C1,29.50,0.75
21084,2011-03-24,CS,F,S ,no,no,older cubs,67.5717,-165.0088,2,C1,35.50,1.10
21240,2011-03-30,SB,F,A,unknown,no,older cubs,71.3418,-155.0497,2,C2,9.00,0.85
32366,2011-04-02,SB,F,A,no,no,older cubs,70.1329,-142.0043,2,C1,4.00,1.20
20525,2011-04-06,SB,F,A,no,no,older cubs,70.1657,-142.6082,2,C1,37.00,1.05
21500,2011-04-06,CS,F,A,unknown,no,older cubs,67.0612,-166.1655,2,C2,45.50,1.15
21509,2011-04-13,CS,F,S ,unknown,no,older cubs,67.1022,-165.3659,2,C2,5.50,1.10
20520,2012-04-04,SB,F,A,no,no,older cubs,70.1412,-143.0452,2,C1,9.00,1.00
